season,week,celebrity_name,judge_total,judge_rank_in_week,week_valid,ballroom_partner,celebrity_industry,celebrity_age_during_season,celebrity_homestate,celebrity_homecountry/region,results,placement,elimination_week,relative_judge_score,cumulative_average,trend,is_bottom_2_judge,residual,fan_score
1,1,Evander Holyfield,180.0,2.0,True,Edyta Sliwinska,Athlete,42,Alabama,United States,Eliminated Week 3,5,3,-0.0614063438486339,0.0,,1,-0.857301081910081,0.6055513840757194
1,2,Evander Holyfield,140.0,6.0,True,Edyta Sliwinska,Athlete,42,Alabama,United States,Eliminated Week 3,5,3,-1.3870232926631427,180.0,-40.0,1,-4.256146502264794,0.8936019567378857
1,3,Evander Holyfield,130.0,5.0,True,Edyta Sliwinska,Athlete,42,Alabama,United States,Eliminated Week 3,5,3,-0.479632096879272,160.0,-10.0,1,-2.308344238201032,0.7602721462465717
1,1,Joey McIntyre,200.0,1.0,True,Ashly DelGrosso,Singer/Rapper,32,Massachusetts,United States,3rd Place,3,999,0.675469782334978,0.0,,0,-1.3245028352803256,0.6597659567031507
1,2,Joey McIntyre,210.0,3.0,True,Ashly DelGrosso,Singer/Rapper,32,Massachusetts,United States,3rd Place,3,999,0.1874355800896141,200.0,10.0,0,-2.3479642029623387,0.7638640448888881
1,3,Joey McIntyre,220.0,3.0,True,Ashly DelGrosso,Singer/Rapper,32,Massachusetts,United States,3rd Place,3,999,0.4453726613878956,205.0,10.0,0,-1.8769548830281213,0.7187920051262409
1,4,Joey McIntyre,200.0,4.0,True,Ashly DelGrosso,Singer/Rapper,32,Massachusetts,United States,3rd Place,3,999,0.3858638550261196,210.0,-20.0,1,-2.20004915975605,0.7502647110955721
1,1,John O'Hurley,200.0,1.0,True,Charlotte Jorgensen,Actor/Actress,50,Maine,United States,2nd Place,2,999,0.675469782334978,0.0,,0,-2.3245028352803256,0.7617415684333457
1,2,John O'Hurley,260.0,1.0,True,Charlotte Jorgensen,Actor/Actress,50,Maine,United States,2nd Place,2,999,1.3120490606272976,200.0,60.0,0,-0.5340022582609865,0.5663565389318689
1,3,John O'Hurley,240.0,2.0,True,Charlotte Jorgensen,Actor/Actress,50,Maine,United States,2nd Place,2,999,0.6509292743361552,230.0,-20.0,0,-2.014606467723099,0.7324920562295916
1,4,John O'Hurley,210.0,3.0,True,Charlotte Jorgensen,Actor/Actress,50,Maine,United States,2nd Place,2,999,0.468548966817431,233.33333333333331,-30.0,0,-2.741310237026773,0.797485977200218
1,1,Kelly Monaco,130.0,3.0,True,Alec Mazo,Actor/Actress,29,Pennsylvania,United States,1st Place,1,999,-1.903596659307664,0.0,,1,-8.51839504549974,0.9860633360037747
1,2,Kelly Monaco,170.0,5.0,True,Alec Mazo,Actor/Actress,29,Pennsylvania,United States,1st Place,1,999,-0.7122552043405326,130.0,40.0,1,-6.818441703359374,0.9679914701922142
1,3,Kelly Monaco,210.0,4.0,True,Alec Mazo,Actor/Actress,29,Pennsylvania,United States,1st Place,1,999,0.3425943549137659,150.0,40.0,0,-4.658696500160862,0.9112786569741183
1,4,Kelly Monaco,260.0,1.0,True,Alec Mazo,Actor/Actress,29,Pennsylvania,United States,1st Place,1,999,0.8819745257739878,170.0,50.0,0,-2.391848406386029,0.7677989284968919
1,1,Rachel Hunter,200.0,1.0,True,Jonathan Roberts,Model,35,,New Zealand,Eliminated Week 4,4,4,0.675469782334978,0.0,,0,-0.32450283528032564,0.5404741015212128
1,2,Rachel Hunter,240.0,2.0,True,Jonathan Roberts,Model,35,,New Zealand,Eliminated Week 4,4,4,0.8622036684122242,200.0,40.0,0,0.25708211734202013,0.4679089094017362
1,3,Rachel Hunter,260.0,1.0,True,Jonathan Roberts,Model,35,,New Zealand,Eliminated Week 4,4,4,0.8564858872844147,220.0,20.0,0,0.7306028826026663,0.4096768450003216
1,4,Rachel Hunter,250.00000000000003,2.0,True,Jonathan Roberts,Model,35,,New Zealand,Eliminated Week 4,4,4,0.7992894139826767,233.33333333333331,-9.999999999999972,0,0.2578394296207227,0.4678146364680988
1,1,Trista Sutter,180.0,2.0,True,Louis van Amstel,TV Personality,32,Indiana,United States,Eliminated Week 2,6,2,-0.0614063438486339,0.0,,1,0.14269891808991897,0.4821701985119246
1,2,Trista Sutter,190.0,4.0,True,Louis van Amstel,TV Personality,32,Indiana,United States,Eliminated Week 2,6,2,-0.2624098121254593,180.0,10.0,0,-0.6238164359189078,0.5773509670234966
2,1,Drew Lachey,240.0,1.0,True,Cheryl Burke,Singer/Rapper,29,Ohio,United States,1st Place,1,999,1.086099282057325,0.0,,0,-2.601307922983273,0.7859450231175483
2,2,Drew Lachey,270.0,2.0,True,Cheryl Burke,Singer/Rapper,29,Ohio,United States,1st Place,1,999,0.8660254037844386,240.0,30.0,0,-2.6023138788340265,0.7860296296617845
