season,celebrity_name,week,judge_total,judge_rank_in_week,week_valid,ballroom_partner,celebrity_industry,celebrity_age_during_season,celebrity_homestate,celebrity_homecountry/region,results,placement,elimination_week,relative_judge_score,cumulative_average,trend,is_bottom_2_judge
1,Evander Holyfield,1,180.0,2.0,True,Edyta Sliwinska,Athlete,42,Alabama,United States,Eliminated Week 3,5,3,-0.061406343848633985,,,True
1,Evander Holyfield,2,140.0,6.0,True,Edyta Sliwinska,Athlete,42,Alabama,United States,Eliminated Week 3,5,3,-1.3870232926631427,180.0,-40.0,True
1,Evander Holyfield,3,130.0,5.0,True,Edyta Sliwinska,Athlete,42,Alabama,United States,Eliminated Week 3,5,3,-0.47963209687927205,160.0,-10.0,True
1,Evander Holyfield,4,,5.0,False,Edyta Sliwinska,Athlete,42,Alabama,United States,Eliminated Week 3,5,3,-1.2678383808001077,150.0,-130.0,True
1,Evander Holyfield,5,,4.0,False,Edyta Sliwinska,Athlete,42,Alabama,United States,Eliminated Week 3,5,3,-0.9071858478776952,112.5,0.0,True
1,Evander Holyfield,6,,3.0,False,Edyta Sliwinska,Athlete,42,Alabama,United States,Eliminated Week 3,5,3,-0.6454564805683923,90.0,0.0,True
1,Evander Holyfield,7,,,False,Edyta Sliwinska,Athlete,42,Alabama,United States,Eliminated Week 3,5,3,0.0,75.0,,False
1,Evander Holyfield,8,,,False,Edyta Sliwinska,Athlete,42,Alabama,United States,Eliminated Week 3,5,3,0.0,75.0,,False
1,Evander Holyfield,9,,,False,Edyta Sliwinska,Athlete,42,Alabama,United States,Eliminated Week 3,5,3,0.0,75.0,,False
1,Evander Holyfield,10,,,False,Edyta Sliwinska,Athlete,42,Alabama,United States,Eliminated Week 3,5,3,0.0,75.0,,False
1,Evander Holyfield,11,,,False,Edyta Sliwinska,Athlete,42,Alabama,United States,Eliminated Week 3,5,3,0.0,75.0,,False
1,Joey McIntyre,1,200.0,1.0,True,Ashly DelGrosso,Singer/Rapper,32,Massachusetts,United States,3rd Place,3,999,0.675469782334978,,,False
1,Joey McIntyre,2,210.0,3.0,True,Ashly DelGrosso,Singer/Rapper,32,Massachusetts,United States,3rd Place,3,999,0.1874355800896141,200.0,10.0,False
1,Joey McIntyre,3,220.0,3.0,True,Ashly DelGrosso,Singer/Rapper,32,Massachusetts,United States,3rd Place,3,999,0.44537266138789566,205.0,10.0,False
1,Joey McIntyre,4,200.0,4.0,True,Ashly DelGrosso,Singer/Rapper,32,Massachusetts,United States,3rd Place,3,999,0.38586385502611964,210.0,-20.0,True
1,Joey McIntyre,5,225.0,3.0,True,Ashly DelGrosso,Singer/Rapper,32,Massachusetts,United States,3rd Place,3,999,0.7704866105262616,207.5,25.0,True
