Perturbation Type,Model,R² Mean,R² Std,R² Drop (%)
Gaussian Noise (σ=0.01),RIDGE,-258.5225856040795,0.08237468270789797,-0.009428111654279165
Gaussian Noise (σ=0.01),LASSO,-182.94488027909293,0.05777294337639499,0.007088543643182763
Gaussian Noise (σ=0.01),ELASTICNET,-183.7161408198541,0.05910784862487228,0.004288944355053273
Gaussian Noise (σ=0.01),SVR,-3.2035248010504294,0.0007830140387785776,-0.01263862778213559
Gaussian Noise (σ=0.05),RIDGE,-258.67178451085124,0.5004800777385299,-0.06714568904218955
Gaussian Noise (σ=0.05),LASSO,-183.13107661908094,0.2605889875057559,-0.09468153108925041
Gaussian Noise (σ=0.05),ELASTICNET,-183.86281658939146,0.3425479686575498,-0.07554589108220668
Gaussian Noise (σ=0.05),SVR,-3.2047389870295317,0.0011656735123630549,-0.05054498128221435
Gaussian Noise (σ=0.10),RIDGE,-259.1494844553746,1.0120315969474472,-0.251943849516705
Gaussian Noise (σ=0.10),LASSO,-183.30084008273585,0.4810585330823702,-0.18746982319052466
Gaussian Noise (σ=0.10),ELASTICNET,-184.42136666646093,0.6439282623900633,-0.37956170519357574
Gaussian Noise (σ=0.10),SVR,-3.204438171423521,0.0014696885248636452,-0.04115365005615289
Gaussian Noise (σ=0.20),RIDGE,-260.95923021796585,1.6926978345295174,-0.9520437588585747
Gaussian Noise (σ=0.20),LASSO,-185.33259497064057,1.4057964883353458,-1.2979741800074165
Gaussian Noise (σ=0.20),ELASTICNET,-185.75410324606162,1.3734790436522122,-1.1049630843664453
Gaussian Noise (σ=0.20),SVR,-3.2040329837343777,0.0015833864517547293,-0.02850386819168667
"Missing Data (5%, mean)",RIDGE,-255.78421038390331,1.5220420328169515,
"Missing Data (5%, mean)",LASSO,-181.0185774718633,1.27900550329059,
"Missing Data (5%, mean)",ELASTICNET,-181.68340206163762,1.2014130634063795,
"Missing Data (5%, mean)",SVR,-3.2033351863495367,0.0002886436376613221,
"Missing Data (10%, mean)",RIDGE,-253.1925607026828,2.68010524218329,
"Missing Data (10%, mean)",LASSO,-179.10916051083504,1.7790719835222808,
"Missing Data (10%, mean)",ELASTICNET,-179.12469619865638,1.4804226708001684,
"Missing Data (10%, mean)",SVR,-3.203429939495938,0.00034865060846093213,
"Missing Data (20%, mean)",RIDGE,-246.97723488681441,2.689145591498378,
"Missing Data (20%, mean)",LASSO,-175.6852425719666,1.7165711188376223,
"Missing Data (20%, mean)",ELASTICNET,-176.26383942299148,2.118303726839139,
"Missing Data (20%, mean)",SVR,-3.2036962075189734,0.00039355129230561343,
"Missing Data (30%, mean)",RIDGE,-242.34804070381455,3.2749085582105124,
"Missing Data (30%, mean)",LASSO,-172.14714877167594,2.8839633855756612,
"Missing Data (30%, mean)",ELASTICNET,-171.69731284426638,2.493716245882581,
"Missing Data (30%, mean)",SVR,-3.2041829251929426,0.0004938362051655656,
"Outlier (1%, 3σ)",RIDGE,-264.7766957755833,2.9085253592474465,
"Outlier (1%, 3σ)",LASSO,-187.94028305488595,2.2742756670497837,
"Outlier (1%, 3σ)",ELASTICNET,-188.4309900743341,2.189631248058165,
"Outlier (1%, 3σ)",SVR,-3.2031639925851767,0.0001064845563088291,
"Outlier (5%, 3σ)",RIDGE,-291.4757848806731,7.552556792941842,
"Outlier (5%, 3σ)",LASSO,-206.05740896796271,6.117491395102855,
"Outlier (5%, 3σ)",ELASTICNET,-209.54446664730185,6.151198894803455,
"Outlier (5%, 3σ)",SVR,-3.2035880590926897,0.00035218452840582047,
"Outlier (10%, 3σ)",RIDGE,-327.03163284225616,8.923691832847066,
"Outlier (10%, 3σ)",LASSO,-229.37173504467606,6.003581189147938,
"Outlier (10%, 3σ)",ELASTICNET,-229.67126878766848,5.797458391084017,
"Outlier (10%, 3σ)",SVR,-3.203555122661014,0.0004817383200408123,
